,20210131-ITP-100-5mM-50_diluted-1
total_reads,65444261.0
clipped_reads,59193018.0
clipped_reads_%,90.45
filtered_out,31655738.0
filtered_out_%,53.48
filter_kept,27537280.0
filter_kept_%,46.52
transcriptome_aligned_once,2724033.0
transcriptome_aligned_once_%,9.89
transcriptome_aligned_many,1236593.0
transcriptome_aligned_many_%,4.49
transcriptome_total_aligned,3960626.0
transcriptome_total_aligned_%,14.38
transcriptome_unaligned,23576654.0
transcriptome_unaligned_%,85.62
qpass_aligned_reads,2586059.0
qpass_aligned_reads_%,65.29
after_dedup,855957.0
after_dedup_%,33.1
genome_aligned_once,9223803.0
genome_aligned_once_%,39.12
genome_aligned_many,0.0
genome_aligned_many_%,0.0
genome_total_aligned,9223803.0
genome_total_aligned_%,39.12
genome_unaligned,14352851.0
genome_unaligned_%,60.88
