,20210318-ITP-MII-50-B
total_reads,53190110.0
clipped_reads,45439127.0
clipped_reads_%,85.43
filtered_out,24973290.0
filtered_out_%,54.96
filter_kept,20465837.0
filter_kept_%,45.04
transcriptome_aligned_once,1700978.0
transcriptome_aligned_once_%,8.31
transcriptome_aligned_many,790832.0
transcriptome_aligned_many_%,3.86
transcriptome_total_aligned,2491810.0
transcriptome_total_aligned_%,12.18
transcriptome_unaligned,17974027.0
transcriptome_unaligned_%,87.82
qpass_aligned_reads,1844796.0
qpass_aligned_reads_%,74.03
after_dedup,375367.0
after_dedup_%,20.35
genome_aligned_once,4112401.0
genome_aligned_once_%,22.88
genome_aligned_many,0.0
genome_aligned_many_%,0.0
genome_total_aligned,4112401.0
genome_total_aligned_%,22.88
genome_unaligned,13861626.0
genome_unaligned_%,77.12
